fpl_player_id,opta_code,player_name,web_name,club,position,minutes,starts,goals,assists,xg,xa,xg_p90,xa_p90,expected_goal_involvements,expected_goal_involvements_p90,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,influence,creativity,threat,form,selected_by_percent,now_cost,status,source_provider
437,p576620,Bendito Mantato,Bendito Mantato,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,4.5,a,fpl
426,p141746,Bruno Borges Fernandes,B.Fernandes,Man Utd,Midfielder,360,4,3.0,1.0,2.28,1.13,0.57,0.28,3.41,0.85,3,16,4,23,156.0,151.5,97.0,7.2,42.2,12.0,a,fpl
427,p446008,Bryan Mbeumo,Mbeumo,Man Utd,Midfielder,360,4,2.0,1.0,2.8,0.55,0.7,0.14,3.35,0.84,5,13,4,22,95.0,85.1,102.0,5.8,23.2,7.9,a,fpl
131,p535301,Carlos Baleba,Baleba,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.9,i,fpl
434,p547037,Jack Fletcher,J.Fletcher,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.9,a,fpl
432,p516895,Kobbie Mainoo,Mainoo,Man Utd,Midfielder,275,3,0.0,1.0,0.24,0.42,0.08,0.14,0.66,0.22,9,30,5,44,52.2,34.2,11.0,4.5,1.5,5.5,a,fpl
433,p232112,Manuel Ugarte Ribeiro,Ugarte,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,i,fpl
429,p176297,Marcus Rashford,Rashford,Man Utd,Midfielder,275,3,0.0,0.0,0.38,0.29,0.12,0.09,0.67,0.21,2,10,4,16,31.4,95.4,70.0,2.0,1.6,7.0,a,fpl
430,p184341,Mason Mount,Mount,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.4,a,fpl
428,p430871,Matheus Santos Carneiro da Cunha,Cunha,Man Utd,Midfielder,317,4,0.0,2.0,0.58,0.44,0.16,0.12,1.02,0.28,0,7,3,10,28.2,62.0,73.0,4.0,6.2,7.9,a,fpl
415,p596777,Patrick Dorgu,Dorgu,Man Utd,Midfielder,165,2,0.0,0.0,0.65,0.08,0.35,0.04,0.73,0.39,6,4,8,18,11.2,14.2,57.0,1.5,0.6,5.8,a,fpl
435,p576628,Shea Lacey,Lacey,Man Utd,Midfielder,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.2,0.6,0.0,0.2,0.1,4.9,a,fpl
436,p490881,Toby Collyer,Collyer,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,u,fpl
438,p519913,Tyler Fletcher,Fletcher,Man Utd,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,4.5,a,fpl
43,p166989,Youri Tielemans,Tielemans,Man Utd,Midfielder,312,4,0.0,0.0,0.56,0.32,0.16,0.09,0.88,0.25,9,17,4,30,56.8,76.5,33.0,2.5,1.6,5.9,a,fpl
451,p545477,Alex Murphy,A.Murphy,Newcastle,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.0,u,fpl
593,p463726,Amar Dedic,Dedić,Newcastle,Defender,270,3,0.0,1.0,0.14,0.08,0.05,0.03,0.22,0.08,13,11,5,18,59.6,38.0,15.0,3.2,2.9,4.5,d,fpl
448,p78916,Dan Burn,Burn,Newcastle,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,4.9,i,fpl
446,p119471,Fabian Schär,Schär,Newcastle,Defender,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2,0.2,5.0,a,fpl
609,p553746,Leo Shahar,Shahar,Newcastle,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,4.0,u,fpl
449,p487838,Lewis Hall,Hall,Newcastle,Defender,269,3,0.0,1.0,0.04,0.67,0.01,0.22,0.71,0.23,22,27,8,30,89.0,55.9,7.0,4.5,14.5,5.2,a,fpl
445,p465642,Malick Thiaw,Thiaw,Newcastle,Defender,270,3,0.0,0.0,0.0,0.07,0.0,0.02,0.07,0.02,21,6,0,21,52.2,14.0,2.0,2.0,2.2,5.0,a,fpl
